TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LATITUDE,LONGITUDE
Co-op for sale,220000,1,1,590,40.713014,-73.823038
Co-op for sale,475000,1,1,615,40.777998,-73.944534
House for sale,1150000,2,2,1444,40.588251,-74.108729
Condo for sale,320000,2,2,936,40.823686,-73.861131
Co-op for sale,295000,2,1,700,40.619639,-73.970731
Condo for sale,285000,2,1,1000,40.836227,-73.861235
Co-op for sale,328000,1,1,800,40.743059,-73.880983
Multi-family home for sale,650000,6,2,2310,40.824436,-73.863374
Condo for sale,1100000,1,2,890,40.759854,-73.987443
Townhouse for sale,2649000,5,4,4050,40.682092,-73.939392
Co-op for sale,849000,2,1,800,40.66626,-73.987014
Co-op for sale,560000,3,1,550,40.777244,-73.986874
Condo for sale,1100000,1,2,890,40.759854,-73.987443
Townhouse for sale,2649000,5,4,4050,40.682092,-73.939392
Co-op for sale,849000,2,1,800,40.66626,-73.987014
Co-op for sale,418888,2,1,900,40.633912,-74.005843
Multi-family home for sale,2600000,3,3,3978,40.608391,-74.010021
Multi-family home for sale,899000,8,2,2160,40.872808,-73.846949
Multi-family home for sale,979000,8,3,2860,40.659713,-73.919598
Condo for sale,1025000,1,1,800,40.771254,-73.950858
Condo for sale,1375000,1,2,920,40.764503,-73.96485
Condo for sale,875000,3,2,1437,40.853953,-73.934568
Multi-family home for sale,1350000,6,3,3000,40.590265,-73.945506
Multi-family home for sale,815156,4,4,2945,40.640266,-74.110402
Multi-family home for sale,1949000,3,5,2560,40.581337,-73.958928
Multi-family home for sale,669000,5,2,1893,40.596715,-73.769642
Condo for sale,1100000,1,1,726,40.707884,-74.014088
Multi-family home for sale,599000,4,3,1176,40.638069,-74.162775
Multi-family home for sale,1350000,10,5,3383,40.682854,-73.876997
House for sale,799000,5,3,1800,40.633613,-73.927604
House for sale,1599000,5,3,5600,40.581376,-74.113191
House for sale,1299900,4,4,2755,40.506592,-74.23935
Multi-family home for sale,860000,5,3,2324,40.576894,-74.004879
House for sale,765000,3,4,2205,40.611142,-74.090536
Co-op for sale,259000,1,1,750,40.64912,-73.944066
Multi-family home for sale,1500000,8,3,3135,40.647148,-73.948942
Condo for sale,850000,2,2,1005,40.856444,-73.937762
Co-op for sale,535000,1,1,750,40.645301,-73.972305
Multi-family home for sale,849998,4,2,2342,40.548777,-74.162925
Multi-family home for sale,998000,5,3,1574,40.719086,-73.906091
Multi-family home for sale,875000,6,3,2860,40.892096,-73.848736
Condo for sale,2350000,1,2,1144,40.744926,-74.005718
Multi-family home for sale,850000,5,2,1908,40.897927,-73.846306
Co-op for sale,339000,3,1,250,40.748888,-73.972395
Multi-family home for sale,875000,7,5,2680,40.82701,-73.876629
Multi-family home for sale,799000,7,2,2296,40.833393,-73.872791
Multi-family home for sale,799000,7,2,2296,40.833393,-73.872791
House for sale,285000,2,1,1380,40.712833,-73.743578
Multi-family home for sale,2499000,5,4,1340,40.696296,-73.97205
Townhouse for sale,795000,4,2,1440,40.876739,-73.911189
House for sale,250000,3,2,1224,40.650553,-73.831674
House for sale,699900,3,2,1470,40.615395,-74.161086
Townhouse for sale,5295000,4,4,4600,40.680007,-73.998211
Condo for sale,2265000,2,2,1123,40.710456,-73.991235
Co-op for sale,459000,2,1,950,40.760794,-73.825877
Multi-family home for sale,1369000,4,2,2900,40.523972,-74.221341
Condo for sale,559000,1,1,679,40.794574,-73.943421
House for sale,749000,4,1,1040,40.616535,-74.150719
House for sale,1295000,3,4,2193,40.789503,-73.976971
Co-op for sale,400000,2,2,1150,40.813143,-73.808397
Condo for sale,289000,1,1,666,40.654162,-73.884678
Condo for sale,699000,1,1,616,40.682648,-73.943492
Condo for sale,1355000,2,2,1002,40.682648,-73.943492
Condo for sale,1225000,2,2,882,40.682648,-73.943492
Co-op for sale,105000,3,1,656,40.85607,-73.868875
House for sale,300000,3,1,952,40.616292,-73.929914
Multi-family home for sale,799000,5,3,2400,40.818184,-73.812739
Co-op for sale,202000,2,1,1453,40.780281,-73.781891
Co-op for sale,599000,3,1,1200,40.627935,-74.026015
Condo for sale,235000,2,1,860,40.619277,-74.09515
Co-op for sale,319000,3,1,960,40.759859,-73.729009
House for sale,1250000,4,4,3300,40.567549,-74.140764
House for sale,774888,3,2,960,40.552558,-74.170901
Co-op for sale,105509,1,1,650,40.879078,-73.91752
House for sale,769000,4,2,1728,40.815203,-73.815497
Co-op for sale,395995,2,1,1100,40.904882,-73.905111
House for sale,499999,2,1,1744,40.854943,-73.79083
Co-op for sale,149000,3,1,400,40.72762,-73.984891
House for sale,1099000,5,2,1760,40.648194,-73.845237
Multi-family home for sale,1529999,6,5,2400,40.678048,-73.805618
House for sale,675000,3,1,1404,40.633351,-74.102133
Townhouse for sale,559900,3,2,980,40.513234,-74.195975
House for sale,2295000,7,4,3632,40.818037,-73.943686
House for sale,1150000,3,4,3000,40.534397,-74.158287
Co-op for sale,235000,3,2,1400,40.71423,-73.8152
House for sale,215000,4,2,2000,40.669498,-73.889753
Condo for sale,7495000,4,4,2888,40.783332,-73.98158
Townhouse for sale,2850000,4,4,4080,40.763924,-73.919058
Co-op for sale,215000,2,2,747,40.823327,-73.811012
House for sale,275000,2,1,1104,40.840982,-73.829294
Multi-family home for sale,898000,6,3,2100,40.558697,-74.1351
Co-op for sale,275000,2,1,900,40.855476,-73.828719
House for sale,599000,4,2,1682,40.674734,-73.823975
Condo for sale,189000,1,1,730,40.61096,-74.060351
Multi-family home for sale,678990,3,3,1575,40.601232,-74.130018
House for sale,800000,3,2,1824,40.608799,-73.912817
Condo for sale,549000,3,2,1092,40.622111,-74.149998
House for sale,849000,3,2,2000,40.552849,-74.169938
House for sale,130000,3,2,664,40.633067,-74.165948
Multi-family home for sale,799900,5,2,1750,40.595626,-73.933927
Co-op for sale,159000,2,1,1010,40.876205,-73.860362
House for sale,999500,3,2,1144,40.784332,-73.804571
Condo for sale,329000,2,1,850,40.631614,-74.085895
House for sale,799000,3,2,1881,40.640289,-73.946349
House for sale,1188000,4,2,1580,40.619866,-74.008715
House for sale,729000,3,2,1400,40.846624,-73.852091
House for sale,599000,4,2,1500,40.897247,-73.868898
Condo for sale,965000,3,1,540,40.690385,-73.982534
Multi-family home for sale,1095000,4,4,2280,40.550565,-74.159902
Condo for sale,2295000,2,2,1242,40.72415,-74.008081
Co-op for sale,49500,3,2,800,40.843284,-73.784603
House for sale,460000,3,3,2256,40.641648,-73.906457
House for sale,1230250,3,2,1590,40.712096,-73.851808
House for sale,799999,3,2,1344,40.609915,-73.928714
Condo for sale,749000,2,2,1300,40.787492,-73.785809
House for sale,265000,2,1,660,40.584922,-74.096878
