TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LATITUDE,LONGITUDE
Condo for sale,799000,1,1,684,40.746232,-73.978689
House for sale,680000,3,2,2200,40.552927,-74.159159
Co-op for sale,1650000,1,2,1000,40.738587,-74.00784
Condo for sale,6750000,3,3,3000,40.747623,-74.005726
House for sale,580000,6,3,2940,40.66097,-73.911193
Townhouse for sale,700000,4,2,2266,40.643029,-73.924857
House for sale,550000,3,2,1410,40.58823,-74.097579
Townhouse for sale,315000,3,2,1344,40.6364,-74.154146
Condo for sale,1695000,2,2,1117,40.716967,-73.94377
Townhouse for sale,2000000,5,3,3024,40.808174,-73.951091
Co-op for sale,249999,2,1,750,40.615233,-73.917694
House for sale,220000,3,2,1396,40.628358,-73.933973
Multi-family home for sale,1150000,12,6,4125,40.702987,-73.927301
House for sale,799999,5,4,2288,40.554682,-74.162553
Condo for sale,2800000,2,2,1188,40.792204,-73.965564
Co-op for sale,311000,1,1,780,40.575628,-73.966783
Condo for sale,649000,3,2,804,40.703164,-73.928244
Co-op for sale,159000,1,1,800,40.869751,-73.905391
House for sale,1148000,3,2,1890,40.613069,-74.034483
Co-op for sale,669000,3,2,1480,40.589483,-73.939537
Co-op for sale,305000,1,1,750,40.634727,-74.036817
House for sale,1375000,3,2,1960,40.660031,-73.984832
Co-op for sale,339000,2,2,906,40.822472,-73.81106
Condo for sale,849500,2,2,975,40.79464,-73.943416
Condo for sale,699000,2,2,967,40.768446,-73.831389
Multi-family home for sale,1250000,9,3,3234,40.847324,-73.863339
Condo for sale,999000,2,2,1262,40.834716,-73.948152
House for sale,669900,3,2,1376,40.707756,-73.778789
Co-op for sale,299000,1,1,750,40.636031,-74.03653
House for sale,988000,5,2,3244,40.654888,-73.927542
Co-op for sale,279000,2,1,810,40.736568,-73.776389
House for sale,988000,3,3,1311,40.761543,-73.862145
Co-op for sale,735000,1,1,800,40.79382,-73.971341
House for sale,968000,4,2,2550,40.847587,-73.853875
Co-op for sale,320000,2,2,1200,40.845596,-73.826422
Co-op for sale,228888,1,1,900,40.709735,-73.818829
Multi-family home for sale,1430000,6,4,2840,40.815239,-73.821988
Co-op for sale,699000,2,1,1100,40.659976,-73.962298
House for sale,699000,3,2,1296,40.616513,-73.917238
Co-op for sale,2000000,3,2,1800,40.779073,-73.957175
Co-op for sale,538888,3,2,1500,40.780782,-73.774354
Townhouse for sale,2450000,5,2,2982,40.681353,-73.926164
House for sale,574999,3,2,1040,40.619479,-74.077813
House for sale,1499888,4,3,2688,40.77356,-73.779524
Co-op for sale,270000,3,1,275,40.669235,-73.976573
House for sale,675000,4,3,1832,40.867225,-73.857424
Co-op for sale,149000,1,1,750,40.901002,-73.862705
Co-op for sale,299999,2,1,863,40.822441,-73.811042
Co-op for sale,536000,2,2,1200,40.888135,-73.916234
Townhouse for sale,6995000,4,4,3400,40.691037,-73.992472
House for sale,799000,3,2,2050,40.609007,-73.930758
Condo for sale,4000000,4,4,3704,40.70799,-74.002171
Co-op for sale,165000,1,1,625,40.834499,-73.860525
Condo for sale,1475000,2,2,1048,40.709513,-73.967769
Condo for sale,595000,3,1,721,40.763031,-73.949236
Townhouse for sale,3500000,10,8,6201,40.793104,-73.975651
Multi-family home for sale,1090000,12,6,4875,40.704239,-73.911382
House for sale,699999,5,2,2218,40.860201,-73.865315
House for sale,899000,4,2,1672,40.711495,-73.815221
House for sale,549000,3,2,1152,40.614469,-74.159239
Townhouse for sale,3700000,6,4,2400,40.714072,-73.958911
House for sale,768000,5,2,1870,40.632915,-74.132873
House for sale,949000,4,2,2476,40.60061,-74.167186
Multi-family home for sale,849000,8,3,4428,40.875133,-73.86876
Multi-family home for sale,750000,1,1,630,40.803213,-73.964808
House for sale,638000,3,2,1728,40.814845,-73.815956
Co-op for sale,239000,1,1,801,40.757799,-73.715956
Townhouse for sale,6999500,5,2,4065,40.746329,-74.003457
Multi-family home for sale,1075000,7,3,2000,40.648951,-74.014767
House for sale,6995000,5,4,5000,40.754102,-73.970163
Co-op for sale,349000,2,1,800,40.669964,-73.942802
Condo for sale,215000,2,1,789,40.839634,-73.856377
House for sale,1099000,3,2,2700,40.619026,-73.905658
Townhouse for sale,2900000,3,3,1979,40.752568,-73.967826
Condo for sale,215000,2,1,789,40.839634,-73.856377
Co-op for sale,349000,2,1,800,40.669964,-73.942802
House for sale,850000,3,2,1152,40.590346,-74.163092
Condo for sale,749000,1,2,879,40.775568,-73.903211
Townhouse for sale,549999,3,2,1677,40.628077,-74.157611
Condo for sale,365000,3,2,920,40.815638,-73.824434
Condo for sale,695000,2,2,845,40.688685,-73.94023
Condo for sale,699000,3,2,1779,40.610436,-73.977907
Co-op for sale,1075000,2,2,1250,40.748758,-73.978279
Co-op for sale,165000,3,1,550,40.878087,-73.917051
Condo for sale,779000,1,1,517,40.783511,-73.977678
Condo for sale,1399999,2,2,1041,40.746265,-73.972462
House for sale,285000,3,2,1536,40.642311,-74.094333
Condo for sale,199999,1,1,750,40.655858,-73.937783
Condo for sale,569000,1,1,490,40.757626,-73.82311
Co-op for sale,183000,1,1,831,40.855257,-73.86938
Condo for sale,1995000,5,4,3075,40.887931,-73.912166
Townhouse for sale,2250000,5,3,2105,40.676459,-73.982188
Condo for sale,650000,3,1,1632,40.577069,-74.161888
Multi-family home for sale,785000,7,3,3388,40.842328,-73.871023
House for sale,2599999,6,6,6353,40.592059,-74.10312
Co-op for sale,1850000,5,3,3000,40.721313,-73.84501
Condo for sale,435000,1,1,661,40.719818,-73.84124
Co-op for sale,2250000,3,2,2025,40.75401,-73.963747
Condo for sale,799000,2,2,922,40.813892,-73.947667
Co-op for sale,205000,1,1,1000,40.885008,-73.907002
House for sale,897000,3,2,1664,40.613769,-73.941665
Townhouse for sale,1999000,5,4,3000,40.67356,-74.000453
House for sale,1250000,3,2,2110,40.586635,-73.943616
Co-op for sale,575000,3,2,1350,40.731342,-73.848907
Condo for sale,798000,2,2,1190,40.788588,-73.787246
House for sale,475000,5,2,1790,40.81029,-73.857367
Condo for sale,399000,1,1,616,40.730136,-73.871999
House for sale,780000,3,3,1344,40.689142,-73.851019
Condo for sale,450000,1,1,776,40.640366,-74.073757
Townhouse for sale,6900000,10,10,6060,40.791214,-73.967197
House for sale,765000,3,4,1888,40.631163,-74.142203
Co-op for sale,399000,3,2,1492,40.78127,-73.78434
Multi-family home for sale,1388888,6,3,2160,40.592033,-73.949196
House for sale,948000,4,2,1492,40.609,-74.008104
Condo for sale,550000,1,1,720,40.739219,-73.874525
Co-op for sale,549999,3,1,1020,40.75179,-73.88467
Townhouse for sale,2295000,5,4,4043,40.681227,-73.933766
Multi-family home for sale,799000,6,4,2200,40.598207,-73.791176
Condo for sale,290900,2,1,850,40.905841,-73.898183
Condo for sale,474900,2,2,1054,40.884744,-73.913248
Condo for sale,7995000,3,4,2789,40.692916,-74.000882
Condo for sale,480000,1,1,506,40.609879,-73.953685
House for sale,1249000,3,4,2400,40.853323,-73.850969
House for sale,635000,3,2,1200,40.632216,-73.894288
House for sale,1759000,3,2,2100,40.643712,-73.976793
Townhouse for sale,2175000,5,2,3317,40.692074,-73.912766
Condo for sale,318000,1,1,638,40.569878,-74.122436
Multi-family home for sale,875000,4,2,2034,40.866471,-73.845984
Multi-family home for sale,739900,4,2,2000,40.606658,-74.163929
Condo for sale,275000,2,2,969,40.628058,-73.91711
Townhouse for sale,1750000,9,8,5000,40.716266,-73.94726
Townhouse for sale,3450000,6,4,4400,40.81775,-73.94302
Co-op for sale,435000,2,1,925,40.723254,-73.857617
Co-op for sale,220000,2,1,922,40.875811,-73.876593
House for sale,1988800,3,4,2071,40.740054,-73.990394
Co-op for sale,135000,1,1,792,40.60308,-73.74755
Co-op for sale,468000,2,1,1200,40.74559,-73.87789
Townhouse for sale,5999999,4,4,4375,40.766531,-73.959491
Co-op for sale,318000,1,1,748,40.760495,-73.781588
Condo for sale,649000,2,1,705,40.771533,-73.927381
House for sale,1875000,3,2,1496,40.624604,-74.036829
House for sale,1350000,3,2,1584,40.609668,-73.951114
Co-op for sale,3345000,4,4,3000,40.787511,-73.973935
House for sale,799000,3,2,1816,40.555769,-74.132736
Condo for sale,5000000,3,3,2162,40.749728,-73.978916
Condo for sale,5250000,3,3,1757,40.725653,-73.987132
Co-op for sale,1995000,2,2,1200,40.773416,-73.979787
Condo for sale,504000,3,2,1004,40.868816,-73.835615
Co-op for sale,1995000,2,2,1200,40.773416,-73.979787
Condo for sale,5250000,3,3,1757,40.725653,-73.987132
Multi-family home for sale,949000,7,3,2745,40.81362,-73.863328
Co-op for sale,319999,1,1,660,40.607701,-73.958782
Condo for sale,999000,3,2,1301,40.611653,-73.978693
Co-op for sale,475000,1,1,950,40.75054,-73.88851
House for sale,479900,3,2,1088,40.656748,-73.880256
Condo for sale,615000,2,4,1568,40.577069,-74.161888
House for sale,1150000,3,2,1700,40.609234,-73.993092
House for sale,659000,3,2,1468,40.499798,-74.241166
Co-op for sale,249000,2,1,900,40.903513,-73.900204
Co-op for sale,1495000,3,2,1650,40.795845,-73.970239
Co-op for sale,295000,1,2,980,40.757799,-73.715956
Co-op for sale,289000,1,1,750,40.576432,-73.964361
Co-op for sale,187000,4,1,1076,40.822427,-73.89004
Townhouse for sale,3500000,8,7,4952,40.823969,-73.94703
Townhouse for sale,4995000,6,6,4000,40.74338,-73.978701
Co-op for sale,689000,3,2,1500,40.756392,-73.907136
Townhouse for sale,2150000,5,3,2940,40.658865,-73.956073
House for sale,889000,3,2,2052,40.531257,-74.157737
Co-op for sale,260000,1,1,800,40.589225,-73.94999
Condo for sale,4200000,3,3,2584,40.714233,-74.007526
Condo for sale,749000,1,2,908,40.719001,-73.836503
Condo for sale,700000,3,2,1245,40.886134,-73.90767
Condo for sale,297000,3,1,600,40.575628,-73.966783
Co-op for sale,455000,1,1,725,40.776032,-73.948792
Condo for sale,6500000,3,4,2190,40.746995,-73.989381
Townhouse for sale,1299000,11,8,4560,40.851267,-73.831453
Co-op for sale,475000,2,2,1150,40.579418,-73.970908
House for sale,1325000,4,3,2200,40.618445,-73.904361
Co-op for sale,259000,1,1,625,40.614733,-74.033781
Townhouse for sale,899000,4,3,1960,40.727846,-73.720774
Co-op for sale,345000,3,2,1100,40.908552,-73.896916
House for sale,669000,3,2,2191,40.613624,-74.130534
Multi-family home for sale,1388000,3,2,2520,40.620978,-73.957202
House for sale,1475000,5,3,2637,40.729123,-73.904268
House for sale,1099000,3,4,2037,40.621735,-73.941847
Co-op for sale,599000,2,2,1350,40.786816,-73.955752
Condo for sale,479900,1,1,550,40.793409,-73.940783
House for sale,4200000,3,1,2560,40.730072,-73.988019
Co-op for sale,188000,3,1,300,40.632771,-74.022251
Condo for sale,479900,1,1,550,40.793409,-73.940783
House for sale,739999,4,2,1976,40.60214,-74.071315
House for sale,2250000,6,4,3432,40.588421,-73.941286
Condo for sale,875000,2,2,1050,40.616554,-74.024429
House for sale,499000,3,2,1786,40.617853,-74.075886
Co-op for sale,4400000,3,3,3500,40.745422,-73.992506
House for sale,855000,3,2,1383,40.57254,-74.100757
Co-op for sale,525000,2,1,1300,40.575194,-73.966998
Condo for sale,715000,2,2,1021,40.584606,-73.942605
Co-op for sale,599000,1,1,755,40.76431,-73.99133
House for sale,749000,4,3,2013,40.610975,-74.071021
Multi-family home for sale,1900000,6,4,2565,40.677872,-73.961576
House for sale,590000,3,1,1360,40.864258,-73.841481
Condo for sale,1395000,3,2,1494,40.705216,-74.008531
House for sale,868000,3,2,1452,40.75928,-73.793953
Multi-family home for sale,1248000,6,3,2400,40.590472,-73.944104
Multi-family home for sale,1449000,7,3,2400,40.649911,-74.007989
House for sale,270000,3,2,1158,40.8839,-73.864167
House for sale,765000,3,2,2500,40.836502,-73.891961
Condo for sale,1181000,2,2,1541,40.887931,-73.912166
House for sale,588000,3,1,1080,40.588725,-73.920849
Multi-family home for sale,805000,6,2,2042,40.852711,-73.911601
House for sale,929000,3,2,1309,40.617429,-73.961513
House for sale,649000,3,2,1152,40.544553,-74.159323
Co-op for sale,439900,2,1,1000,40.731896,-73.859965
House for sale,459999,1,1,640,40.842637,-73.816875
House for sale,1999000,4,2,2600,40.590836,-74.101996
Townhouse for sale,2395000,5,2,2560,40.684832,-73.922055
Multi-family home for sale,1180000,6,5,1810,40.793158,-73.841931
Co-op for sale,650000,2,2,1200,40.72165,-73.84119
Co-op for sale,589000,2,2,1100,40.61201,-74.034581
House for sale,515000,3,1,882,40.684282,-73.727858
Multi-family home for sale,750000,2,3,1530,40.613288,-74.128148
Condo for sale,1499999,2,2,901,40.771855,-73.979984
House for sale,1525000,3,2,2572,40.634902,-73.956394
Multi-family home for sale,900000,5,3,2487,40.853323,-73.917175
Townhouse for sale,1099999,4,2,1874,40.597548,-73.95045
Co-op for sale,1495000,4,4,2600,40.764197,-73.960624
Co-op for sale,239000,3,1,450,40.614166,-74.035383
Multi-family home for sale,2350000,6,4,2700,40.783232,-73.79584
House for sale,1788000,4,4,2716,40.766133,-73.762748
Condo for sale,299900,1,1,525,40.880825,-73.917309
Co-op for sale,439999,1,2,1215,40.756476,-73.721201
House for sale,899000,4,2,1224,40.598534,-74.127001
Townhouse for sale,4950000,4,1,3800,40.714092,-73.964783
Townhouse for sale,1895000,5,1,2400,40.678546,-74.011278
Multi-family home for sale,1590000,5,4,2880,40.753332,-73.895186
Co-op for sale,234900,1,1,753,40.757799,-73.715956
Multi-family home for sale,1500000,3,2,2000,40.722391,-73.935546
Multi-family home for sale,1075000,5,4,2905,40.58909,-73.802217
Multi-family home for sale,1325000,5,2,2208,40.669791,-73.934856
Co-op for sale,525000,2,1,1000,40.639376,-74.035291
Co-op for sale,305000,2,1,600,40.776712,-73.907764
House for sale,1980000,5,2,2652,40.625346,-74.036404
Condo for sale,1995000,2,2,1562,40.784533,-73.978912
Condo for sale,750000,1,1,943,40.687025,-74.000495
House for sale,599000,3,2,1052,40.875021,-73.854737
Multi-family home for sale,4295000,9,11,6270,40.693103,-73.922962
Co-op for sale,175000,1,1,800,40.598047,-73.935432
House for sale,999000,4,4,3570,40.589866,-74.15159
House for sale,849999,2,2,1365,40.562056,-74.105254
Co-op for sale,136999,1,1,750,40.853382,-73.865155
Condo for sale,699000,2,2,1320,40.578038,-73.836668
Co-op for sale,825000,1,1,750,40.746806,-73.979748
Condo for sale,4100000,3,4,2200,40.77508,-73.990303
Condo for sale,8850000,3,4,5094,40.72512,-74.004902
House for sale,8999999,6,6,5500,40.764386,-73.965821
Condo for sale,408000,1,1,787,40.585628,-73.987985
Condo for sale,559000,1,1,830,40.57955,-73.96587
Co-op for sale,379000,2,1,1000,40.621168,-73.955958
Co-op for sale,815000,1,1,630,40.740038,-73.987668
Co-op for sale,599000,2,2,1200,40.61869,-74.032363
Co-op for sale,280000,2,2,975,40.865131,-73.906801
Multi-family home for sale,875000,9,6,5712,40.648807,-73.929392
Townhouse for sale,1299900,6,4,2504,40.636611,-74.150256
Condo for sale,2225000,2,2,1420,40.744042,-73.97558
Condo for sale,1530000,2,2,1229,40.710245,-73.968241
House for sale,594900,3,2,1224,40.63818,-73.907153
Multi-family home for sale,1399888,7,4,3682,40.612845,-73.918225
Co-op for sale,309000,1,2,1074,40.757797,-73.71596
House for sale,2700000,5,2,2690,40.58014,-73.94946
House for sale,554900,3,2,1890,40.884929,-73.86131
Condo for sale,399000,1,1,561,40.583957,-73.942085
Condo for sale,675000,2,2,904,40.732471,-73.86708
Condo for sale,164999,3,1,400,40.644912,-74.078739
Co-op for sale,715000,3,1,983,40.732933,-73.985865
Co-op for sale,1200000,2,2,1100,40.653303,-73.973072
Multi-family home for sale,3975000,4,4,3181,40.727363,-73.948662
House for sale,949900,4,2,1680,40.621756,-74.141315
House for sale,949900,4,2,1680,40.621756,-74.141315
Townhouse for sale,849000,3,2,1296,40.714992,-73.877528
Co-op for sale,560000,1,1,700,40.746765,-73.976998
Multi-family home for sale,1450000,5,4,3252,40.550426,-74.186404
Multi-family home for sale,1599000,5,3,2424,40.606275,-73.915786
Co-op for sale,255000,1,1,650,40.72915,-73.84944
Townhouse for sale,3200000,4,4,3200,40.682028,-74.000601
House for sale,799999,3,4,2337,40.513375,-74.202668
Condo for sale,198000,1,1,1000,40.618948,-74.107158
House for sale,485000,2,1,560,40.585215,-73.937245
Multi-family home for sale,1288000,5,5,2500,40.73741,-73.900242
House for sale,589000,2,2,1808,40.538384,-74.143309
Townhouse for sale,2050000,7,4,5200,40.800362,-73.937358
Co-op for sale,259000,3,1,250,40.750236,-73.970757
Co-op for sale,219000,3,1,550,40.621071,-73.969227
Condo for sale,1795000,3,2,1773,40.810446,-73.943187
Condo for sale,699000,2,2,1519,40.816336,-73.943445
Co-op for sale,425000,3,2,1300,40.737923,-73.847072
Condo for sale,2750000,3,3,2782,40.681105,-74.009814
Co-op for sale,279999,1,1,790,40.58444,-73.931612
Condo for sale,980000,3,3,1574,40.605067,-73.977625
Co-op for sale,1600000,4,2,2350,40.704826,-74.011818
Co-op for sale,250000,1,2,740,40.91273,-73.902225
Multi-family home for sale,1350000,7,4,2800,40.742421,-73.868714
Co-op for sale,309000,1,1,850,40.72915,-73.84944
House for sale,1750000,4,3,3225,40.633166,-74.030357
Condo for sale,950000,3,2,1401,40.605067,-73.977625
Condo for sale,5000000,2,2,2522,40.724245,-74.000867
House for sale,1050000,3,2,1870,40.83255,-73.816703
Condo for sale,1390000,4,3,1950,40.625979,-73.982186
Condo for sale,9995000,3,4,2926,40.741293,-73.981837
Co-op for sale,529000,2,2,1200,40.743883,-73.887387
House for sale,1328888,3,2,1440,40.60946,-73.983164
Townhouse for sale,478888,2,2,1159,40.587231,-74.16413
Condo for sale,1350000,1,1,850,40.771152,-73.964669
House for sale,728000,2,1,1440,40.773157,-73.802759
Condo for sale,2750000,2,2,1892,40.734596,-73.985551
Condo for sale,2095000,2,2,1600,40.760303,-73.96105
Co-op for sale,199900,3,1,550,40.72915,-73.84944
Multi-family home for sale,1399999,4,4,2776,40.536566,-74.183942
House for sale,2300000,3,2,2800,40.790337,-73.842029
Co-op for sale,399990,2,1,1000,40.721357,-73.841401
Multi-family home for sale,850000,3,3,2646,40.578695,-73.962651
Co-op for sale,215000,3,1,625,40.731842,-73.857482
Co-op for sale,199900,3,1,550,40.72915,-73.84944
Co-op for sale,130000,1,1,720,40.852726,-73.867037
Condo for sale,690000,2,2,942,40.608802,-73.98057
Co-op for sale,185000,2,1,854,40.597724,-73.935218
Multi-family home for sale,928888,4,2,1480,40.787297,-73.848086
Condo for sale,780000,2,2,955,40.756558,-73.831704
House for sale,1190000,3,2,1360,40.62142,-74.032847
Co-op for sale,599000,2,1,1100,40.748758,-73.978279
Condo for sale,639999,3,2,1180,40.887421,-73.903418
House for sale,749000,3,2,1600,40.544867,-74.159159
Condo for sale,2999999,4,4,3100,40.796189,-73.949116
Townhouse for sale,3995000,4,4,3412,40.685709,-74.003264
House for sale,2235000,3,4,2750,40.577846,-73.946577
House for sale,620000,3,2,1400,40.846435,-73.83583
Condo for sale,1999999,3,2,1865,40.721396,-73.943092
Condo for sale,1150000,2,2,1850,40.787876,-73.786717
Co-op for sale,339000,2,1,822,40.822497,-73.81109
House for sale,938000,3,2,1836,40.772306,-73.889605
House for sale,919000,6,3,5400,40.641094,-73.949093
Co-op for sale,425000,3,2,1150,40.895291,-73.908931
Co-op for sale,799000,2,2,1000,40.749029,-73.971996
Co-op for sale,475000,1,1,750,40.693958,-73.99437
Townhouse for sale,3800000,6,4,3340,40.669413,-73.980254
Co-op for sale,325000,3,1,1200,40.590397,-73.935927
Condo for sale,1200000,2,2,1200,40.706913,-74.008578
House for sale,6975000,2,2,3050,40.726567,-73.996761
House for sale,2400000,4,4,3424,40.672728,-73.949796
Co-op for sale,3500000,4,4,2700,40.764112,-73.986277
House for sale,2975000,4,4,2968,40.780343,-73.947266
Condo for sale,1250000,2,2,1257,40.756121,-73.836809
Co-op for sale,220000,1,1,750,40.755448,-73.73196
Multi-family home for sale,1179987,5,4,4143,40.515005,-74.235135
Multi-family home for sale,949000,7,6,3733,40.828299,-73.91272
Co-op for sale,4000000,3,2,2300,40.784043,-73.983324
House for sale,649000,3,3,1456,40.597298,-74.134727
Condo for sale,1175000,1,2,1070,40.762273,-73.976719
House for sale,995000,2,2,800,40.603454,-73.975668
Condo for sale,1595000,3,2,1375,40.736199,-73.953872
House for sale,649000,3,3,1456,40.597298,-74.134727
House for sale,995000,2,2,800,40.603454,-73.975668
Condo for sale,1338000,3,2,2082,40.640366,-74.073757
House for sale,499000,2,2,1146,40.895515,-73.851075
Co-op for sale,349000,2,1,800,40.58444,-73.931612
House for sale,160000,2,1,900,40.628176,-74.179723
Condo for sale,370000,3,1,462,40.609637,-73.954415
Co-op for sale,600000,1,1,715,40.804369,-73.964408
Condo for sale,1950000,2,2,1000,40.78051,-73.952399
Co-op for sale,2000000,3,2,1800,40.773788,-73.955144
House for sale,1149000,4,3,1800,40.664463,-73.951745
Co-op for sale,329999,2,1,950,40.821421,-73.875979
Co-op for sale,390000,2,1,1100,40.715565,-73.831115
Co-op for sale,239000,1,1,700,40.578254,-73.953479
Condo for sale,8900000,5,5,4297,40.777961,-73.985459
Co-op for sale,839000,3,2,1120,40.850106,-73.938786
Condo for sale,1439000,4,2,1625,40.697258,-73.957
Co-op for sale,379000,2,1,900,40.728276,-73.820885
Condo for sale,1439000,4,2,1625,40.697258,-73.957
Multi-family home for sale,1245000,5,2,1800,40.708588,-73.893436
Multi-family home for sale,365000,4,3,1600,40.635289,-74.090616
Condo for sale,950000,2,2,1025,40.766913,-73.934289
Condo for sale,209000,1,1,658,40.8391,-73.856669
Condo for sale,8250000,6,6,3920,40.725002,-73.993861
Co-op for sale,429000,2,1,850,40.617623,-74.038637
House for sale,699000,3,3,2835,40.632481,-73.930678
Condo for sale,450000,1,1,724,40.610069,-73.953748
House for sale,1190000,4,2,1500,40.593514,-73.955671
House for sale,649000,3,2,1257,40.649922,-73.945373
Co-op for sale,4695000,3,4,2600,40.78244,-73.956165
House for sale,699000,3,3,2835,40.632481,-73.930678
House for sale,399888,3,4,1613,40.886589,-73.858504
Condo for sale,1395000,3,4,2472,40.815081,-73.953318
Condo for sale,2995000,4,3,2135,40.802892,-73.957154
Co-op for sale,650000,2,1,1060,40.851162,-73.940847
House for sale,2599000,4,3,3510,40.606391,-73.902018
Townhouse for sale,1195000,4,2,2625,40.685396,-73.959061
House for sale,1288000,3,2,1188,40.622938,-74.029895
Condo for sale,2099000,2,2,1447,40.701905,-73.984424
Multi-family home for sale,1275000,5,3,1920,40.651226,-74.013132
Co-op for sale,4800000,3,4,3475,40.778129,-73.959827
Multi-family home for sale,1279900,3,2,3812,40.806225,-73.939312
Multi-family home for sale,1680000,7,4,3780,40.785705,-73.778612
Co-op for sale,299000,1,1,850,40.731332,-73.828467
Co-op for sale,449000,1,2,1213,40.756476,-73.721201
Condo for sale,1250000,3,2,1287,40.692591,-73.984937
Co-op for sale,499000,2,1,900,40.627337,-74.026202
House for sale,699000,3,2,1700,40.545028,-74.218133
Condo for sale,625000,4,2,1268,40.663477,-73.936924
Multi-family home for sale,949000,4,2,1600,40.645235,-73.956937
Townhouse for sale,2395000,6,4,3972,40.835195,-73.939002
Condo for sale,625000,4,2,1268,40.663477,-73.936924
House for sale,1250000,3,4,3328,40.619844,-74.088918
House for sale,2199000,3,3,3454,40.57828,-73.944271
Co-op for sale,5495000,3,2,3000,40.71938,-74.007532
House for sale,1449999,3,2,1890,40.678312,-73.928113
Co-op for sale,525000,3,1,322,40.78367,-73.970927
House for sale,1299000,3,2,1700,40.622512,-74.038316
Multi-family home for sale,899999,4,2,2194,40.61722,-74.132067
House for sale,925000,2,2,1077,40.676481,-73.944673
Co-op for sale,279000,1,1,600,40.622057,-74.020051
Condo for sale,560000,3,1,622,40.642383,-74.002033
House for sale,999000,3,2,1260,40.579249,-73.847087
Multi-family home for sale,1188000,6,2,2186,40.702101,-73.767114
House for sale,948888,3,1,950,40.578696,-73.938485
Condo for sale,735000,2,2,832,40.685077,-73.910735
Multi-family home for sale,1850000,8,4,5000,40.7981,-73.93891
Condo for sale,1700000,2,2,1135,40.731551,-74.001391
Co-op for sale,295000,2,1,613,40.823352,-73.951573
Co-op for sale,625000,1,1,650,40.739522,-73.980231
Condo for sale,399000,3,1,391,40.766824,-73.923973
Condo for sale,5700000,3,4,2357,40.72422,-74.005637
Co-op for sale,149999,1,1,694,40.904998,-73.906572
Condo for sale,650000,3,1,550,40.793559,-73.965601
Co-op for sale,399000,2,1,1090,40.74559,-73.87789
Townhouse for sale,2495000,3,2,4125,40.704349,-73.931095
Co-op for sale,299000,3,1,394,40.757176,-73.965676
Condo for sale,239500,1,1,864,40.641437,-74.080225
Co-op for sale,235000,1,1,850,40.885838,-73.908859
House for sale,629000,3,3,1280,40.608696,-74.085947
House for sale,2200000,3,2,3760,40.545046,-74.1859
House for sale,380000,3,2,600,40.678941,-73.871298
Townhouse for sale,530000,3,2,1280,40.615566,-74.080285
Condo for sale,1449000,4,2,1632,40.69902,-73.958715
Condo for sale,7750000,3,4,2855,40.78687,-73.968609
Condo for sale,990000,1,1,791,40.780472,-73.987143
Condo for sale,990000,1,1,791,40.780472,-73.987143
Condo for sale,2300000,1,2,1100,40.77613,-73.960619
Condo for sale,350000,1,1,738,40.578183,-74.162687
Multi-family home for sale,1900000,5,4,3640,40.818842,-73.945683
Multi-family home for sale,2498000,6,6,3184,40.764488,-73.766057
Co-op for sale,245000,3,1,713,40.737923,-73.847072
Condo for sale,8495000,3,4,4781,40.718987,-74.003865
Condo for sale,1895000,3,2,1929,40.76479,-73.989081
Co-op for sale,189900,1,1,600,40.594138,-73.963948
Multi-family home for sale,999000,5,4,1980,40.823289,-73.816944
Condo for sale,2195000,3,2,1708,40.76296,-73.970545
Multi-family home for sale,1260000,7,2,2000,40.618689,-73.99525
Co-op for sale,229000,1,1,650,40.630829,-74.025017
Multi-family home for sale,1275000,6,5,2500,40.542392,-74.19559
Condo for sale,5495000,5,4,4014,40.71412,-74.006628
House for sale,730000,4,3,1648,40.6987,-73.761794
Multi-family home for sale,1149000,6,3,2600,40.578124,-73.844995
Condo for sale,499000,2,1,825,40.620502,-74.039697
Condo for sale,450000,2,1,1249,40.589495,-73.789635
House for sale,558000,3,2,1108,40.546336,-74.142003
Condo for sale,539000,2,2,821,40.614582,-73.946315
Co-op for sale,99000,1,1,859,40.836662,-73.923959
Co-op for sale,995000,3,2,1300,40.776763,-73.962509
Condo for sale,2550000,3,2,2400,40.676337,-74.000197
Co-op for sale,345000,2,1,1000,40.587191,-73.984097
House for sale,879000,4,2,2240,40.570809,-74.117917
House for sale,939999,3,2,3096,40.714633,-73.73058
Co-op for sale,500000,3,2,1200,40.732991,-73.858624
Townhouse for sale,1238000,3,2,1500,40.736785,-73.847776
Co-op for sale,370000,2,1,800,40.603329,-74.016081
Condo for sale,595000,1,1,574,40.808054,-73.942607
Condo for sale,2799000,3,3,2350,40.667604,-73.993127
Co-op for sale,289000,1,1,520,40.633994,-74.036347
Co-op for sale,585000,3,1,1050,40.751251,-73.881443
House for sale,699000,3,2,1538,40.605961,-74.16448
Condo for sale,340000,1,1,850,40.577769,-73.971987
Co-op for sale,199999,1,1,550,40.607962,-73.954943
Co-op for sale,799000,2,2,1043,40.698571,-73.988191
House for sale,888888,4,3,2088,40.546995,-74.141376
House for sale,1690000,3,2,1536,40.604218,-73.946797
Condo for sale,8950000,2,2,2270,40.741227,-73.998774
House for sale,1449000,3,4,3600,40.613153,-74.107639
Condo for sale,1295000,2,2,1160,40.782224,-73.950937
Co-op for sale,599000,1,1,800,40.714282,-73.979218
House for sale,628000,3,2,960,40.588304,-74.092876
Condo for sale,593000,2,2,1312,40.615185,-74.064636
